epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.819,0.87471,1.75337,1.24858,0.52525,0.37833,0.39727,0.26232,1.44874,2.47418,1.79585,0.00332792,0.00332792,0.00332792
2,469.932,0.97109,1.57304,1.3061,0.56607,0.35673,0.38962,0.24527,1.57761,2.49026,1.91395,0.00659531,0.00659531,0.00659531
3,686.523,1.1217,1.76135,1.40913,0.44894,0.36758,0.3632,0.21373,1.58762,2.17324,1.92507,0.0097967,0.0097967,0.0097967
4,902.359,1.26471,1.97115,1.52547,0.46675,0.34097,0.35014,0.20718,1.65821,2.2877,1.99882,0.009703,0.009703,0.009703
5,1105.78,1.24676,1.87426,1.49959,0.49992,0.42001,0.42407,0.25229,1.61055,2.07043,1.96073,0.009604,0.009604,0.009604
6,185.653,1.20524,1.80247,1.47026,0.47322,0.34392,0.36304,0.2226,1.57047,2.43447,1.92713,0.009505,0.009505,0.009505
7,192.476,1.10614,1.60792,1.39512,0.47764,0.40797,0.40901,0.25143,1.58681,2.19072,1.96743,0.009406,0.009406,0.009406
8,369.186,1.17397,1.71179,1.45197,0.50161,0.41834,0.43021,0.26825,1.5205,1.94481,1.86461,0.009307,0.009307,0.009307
9,191.996,1.04555,1.49678,1.34609,0.5277,0.45932,0.46086,0.29369,1.46209,1.93828,1.83998,0.009208,0.009208,0.009208
10,381.996,1.06965,1.5118,1.37297,0.53036,0.39943,0.43202,0.27794,1.53419,2.19556,1.89444,0.009109,0.009109,0.009109
11,585.066,1.13198,1.60996,1.42745,0.53005,0.43404,0.44116,0.28241,1.501,1.96715,1.85855,0.00901,0.00901,0.00901
12,776.69,1.11562,1.57305,1.41595,0.53902,0.40426,0.4336,0.27896,1.51178,2.16005,1.88079,0.008911,0.008911,0.008911
13,972.924,1.08877,1.5139,1.38726,0.57113,0.46575,0.4859,0.3112,1.49104,1.89608,1.84443,0.008812,0.008812,0.008812
14,1158.32,1.09907,1.53036,1.40191,0.5673,0.44752,0.48539,0.31317,1.45632,1.87516,1.84573,0.008713,0.008713,0.008713
15,1353.88,1.07734,1.48841,1.37699,0.5579,0.41578,0.46481,0.29909,1.4788,2.02945,1.84021,0.008614,0.008614,0.008614
16,1541.12,1.0666,1.45711,1.3704,0.54032,0.43842,0.45829,0.30013,1.45153,1.92806,1.81778,0.008515,0.008515,0.008515
17,1738.19,1.05559,1.4463,1.35946,0.57949,0.47776,0.49894,0.32589,1.42967,1.75134,1.78433,0.008416,0.008416,0.008416
18,1928.61,1.03987,1.4306,1.3577,0.60344,0.47679,0.5123,0.3316,1.39911,1.7796,1.76888,0.008317,0.008317,0.008317
19,2124.76,1.03008,1.40536,1.35109,0.60976,0.47804,0.52135,0.34465,1.39581,1.72359,1.77071,0.008218,0.008218,0.008218
20,2315.06,1.01809,1.37812,1.34182,0.57797,0.4987,0.52152,0.34377,1.39349,1.81475,1.75235,0.008119,0.008119,0.008119
21,2511.37,1.01608,1.38906,1.32921,0.60924,0.49425,0.51992,0.34968,1.38065,1.73225,1.74272,0.00802,0.00802,0.00802
22,2703.18,1.01956,1.36913,1.33526,0.57969,0.48277,0.50823,0.33227,1.38038,1.75774,1.74183,0.007921,0.007921,0.007921
23,2909.48,1.01107,1.35254,1.32963,0.60709,0.49106,0.52893,0.34891,1.38709,1.69528,1.75275,0.007822,0.007822,0.007822
24,3112.12,0.9936,1.3413,1.32436,0.62081,0.483,0.52636,0.34724,1.39787,1.7454,1.75494,0.007723,0.007723,0.007723
25,3354.81,0.98574,1.32431,1.31024,0.62157,0.48869,0.52624,0.35016,1.38989,1.70095,1.76003,0.007624,0.007624,0.007624
26,3598.53,0.98333,1.30706,1.30477,0.65074,0.49047,0.53147,0.35087,1.39332,1.75961,1.76256,0.007525,0.007525,0.007525
27,3840.14,0.98517,1.30835,1.31231,0.61366,0.4996,0.53027,0.35216,1.4065,1.70773,1.74286,0.007426,0.007426,0.007426
28,4079.18,0.96609,1.27109,1.30264,0.61874,0.4856,0.52801,0.35547,1.37672,1.72951,1.73684,0.007327,0.007327,0.007327
29,4309.15,0.96017,1.27254,1.29177,0.62674,0.48362,0.5313,0.35778,1.35467,1.68949,1.71696,0.007228,0.007228,0.007228
