epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.337,1.56675,2.91418,1.91929,0.24102,0.31942,0.19571,0.0839,1.89456,3.60687,2.55834,0.000237209,0.000237209,0.000237209
2,339.982,1.74462,2.68351,2.07794,0.44498,0.20338,0.17569,0.08103,1.95698,3.65854,2.51727,0.000470505,0.000470505,0.000470505
3,505.088,1.70322,2.55065,2.04501,0.43749,0.33573,0.30657,0.15345,1.74401,2.65802,2.30879,0.000699088,0.000699088,0.000699088
4,668.981,1.63667,2.41418,1.98098,0.3145,0.38399,0.318,0.16751,1.65794,2.38472,2.11657,0.000692794,0.000692794,0.000692794
5,833.585,1.55812,2.26849,1.91448,0.41388,0.39574,0.35993,0.21052,1.52181,2.15644,2.0351,0.000685726,0.000685726,0.000685726
6,997.61,1.49361,2.11247,1.8637,0.58555,0.36589,0.39563,0.23058,1.54879,2.24022,2.02003,0.000678657,0.000678657,0.000678657
7,1162.51,1.43741,2.00055,1.80832,0.5076,0.51223,0.51019,0.31761,1.39538,1.69125,1.89993,0.000671588,0.000671588,0.000671588
8,1326.8,1.4011,1.9129,1.78663,0.51261,0.51997,0.51088,0.31687,1.34982,1.6772,1.85458,0.00066452,0.00066452,0.00066452
9,1491.12,1.37915,1.86497,1.76956,0.54976,0.5381,0.53753,0.33929,1.34156,1.58604,1.8411,0.000657451,0.000657451,0.000657451
10,1655.3,1.34002,1.79948,1.7324,0.55915,0.53872,0.55742,0.35327,1.32888,1.57841,1.82128,0.000650383,0.000650383,0.000650383
11,1820.04,1.32509,1.74908,1.72053,0.56296,0.55509,0.57143,0.352,1.39819,1.61866,1.8788,0.000643314,0.000643314,0.000643314
12,1984.06,1.31368,1.72486,1.70061,0.61751,0.55995,0.60985,0.40827,1.20592,1.38986,1.69815,0.000636245,0.000636245,0.000636245
13,2148.73,1.28134,1.65068,1.67996,0.59827,0.59177,0.60905,0.40244,1.20569,1.41597,1.72115,0.000629177,0.000629177,0.000629177
14,2312.27,1.25068,1.60897,1.64831,0.62773,0.62963,0.65422,0.43444,1.19141,1.30254,1.69892,0.000622108,0.000622108,0.000622108
15,2477.52,1.23307,1.57963,1.63537,0.6631,0.61362,0.66173,0.44338,1.16938,1.2973,1.6775,0.00061504,0.00061504,0.00061504
16,2641.66,1.22636,1.55661,1.63043,0.60826,0.66163,0.67373,0.46004,1.1245,1.25087,1.63621,0.000607971,0.000607971,0.000607971
17,2806.07,1.21663,1.53261,1.6328,0.68387,0.65066,0.70446,0.4821,1.1255,1.21335,1.65063,0.000600902,0.000600902,0.000600902
18,2969.82,1.19976,1.49482,1.60714,0.6881,0.62027,0.68618,0.46812,1.10315,1.21813,1.62147,0.000593834,0.000593834,0.000593834
19,3134.1,1.17587,1.45595,1.58719,0.68798,0.68314,0.72323,0.5091,1.04756,1.11225,1.56719,0.000586765,0.000586765,0.000586765
20,3298.01,1.15384,1.42181,1.5638,0.71482,0.64467,0.71339,0.49794,1.06393,1.13818,1.57854,0.000579697,0.000579697,0.000579697
21,3462.33,1.15307,1.40864,1.57106,0.6993,0.6958,0.72956,0.51263,1.05836,1.12654,1.57701,0.000572628,0.000572628,0.000572628
22,3626.41,1.13781,1.37019,1.55696,0.71617,0.68112,0.7457,0.52809,1.03534,1.06202,1.54426,0.000565559,0.000565559,0.000565559
23,3791.43,1.13052,1.3637,1.54558,0.73706,0.69571,0.75591,0.5348,1.01833,1.03298,1.53475,0.000558491,0.000558491,0.000558491
24,3955.52,1.11189,1.31581,1.53674,0.74213,0.70304,0.76651,0.55236,1.0008,1.00144,1.51635,0.000551422,0.000551422,0.000551422
25,4120.3,1.10536,1.30895,1.52887,0.70108,0.71052,0.76086,0.5437,1.00203,1.03958,1.52274,0.000544354,0.000544354,0.000544354
26,4284.16,1.09756,1.27929,1.51309,0.73543,0.69752,0.76727,0.55021,1.01768,1.03359,1.53379,0.000537285,0.000537285,0.000537285
27,4448.54,1.09174,1.26666,1.51492,0.77533,0.6929,0.77989,0.56019,1.0029,0.98197,1.49614,0.000530216,0.000530216,0.000530216
28,4612.7,1.07873,1.27891,1.50071,0.78046,0.69012,0.7877,0.57161,0.9714,0.96031,1.48467,0.000523148,0.000523148,0.000523148
29,4777.27,1.0742,1.22635,1.50001,0.76949,0.71637,0.79765,0.58535,0.95084,0.9291,1.47557,0.000516079,0.000516079,0.000516079
30,4941.34,1.0608,1.19921,1.48519,0.76355,0.76236,0.81702,0.604,0.92203,0.88593,1.43481,0.000509011,0.000509011,0.000509011
31,5106.05,1.06071,1.20328,1.48891,0.78512,0.717,0.8033,0.59871,0.92865,0.90102,1.44978,0.000501942,0.000501942,0.000501942
32,5269.64,1.04089,1.17512,1.47079,0.78846,0.74397,0.82288,0.61503,0.89261,0.86738,1.4129,0.000494873,0.000494873,0.000494873
33,5434.21,1.0288,1.14827,1.45961,0.77151,0.73903,0.81635,0.6095,0.90012,0.89084,1.41653,0.000487805,0.000487805,0.000487805
34,5597.82,1.02114,1.15525,1.45606,0.77898,0.7669,0.8362,0.62517,0.88322,0.82004,1.39897,0.000480736,0.000480736,0.000480736
35,5762.57,1.02274,1.13446,1.44971,0.76659,0.77899,0.83811,0.62858,0.89001,0.83155,1.40509,0.000473668,0.000473668,0.000473668
36,5926.78,1.00352,1.11127,1.44038,0.78771,0.78694,0.84609,0.64189,0.85576,0.79662,1.37067,0.000466599,0.000466599,0.000466599
37,6091.64,0.99074,1.09542,1.42212,0.81586,0.78311,0.85301,0.6537,0.84523,0.76382,1.36227,0.00045953,0.00045953,0.00045953
38,6255.69,0.99952,1.08359,1.43606,0.8063,0.79608,0.85867,0.65859,0.84848,0.75946,1.36623,0.000452462,0.000452462,0.000452462
39,6420.73,0.99729,1.09129,1.42606,0.83784,0.78708,0.865,0.66747,0.82299,0.7502,1.33368,0.000445393,0.000445393,0.000445393
40,6584.63,0.99363,1.08035,1.42497,0.81442,0.79703,0.86723,0.66625,0.83328,0.73834,1.34887,0.000438325,0.000438325,0.000438325
41,6748.93,0.98192,1.06563,1.41201,0.83279,0.80293,0.87302,0.67372,0.81914,0.73456,1.33045,0.000431256,0.000431256,0.000431256
42,6912.95,0.97031,1.0318,1.40149,0.82876,0.78266,0.85988,0.67265,0.79389,0.75976,1.3306,0.000424187,0.000424187,0.000424187
43,7077.53,0.95946,1.02621,1.39544,0.81772,0.81279,0.87575,0.68504,0.79497,0.71573,1.31444,0.000417119,0.000417119,0.000417119
44,7241.67,0.95304,1.00932,1.38863,0.83568,0.81775,0.88455,0.69607,0.78503,0.6936,1.30807,0.00041005,0.00041005,0.00041005
45,7406.39,0.94742,0.99453,1.38421,0.83282,0.80749,0.88577,0.69598,0.77423,0.68664,1.29738,0.000402982,0.000402982,0.000402982
46,7570.6,0.94301,0.9772,1.37971,0.82698,0.83637,0.89603,0.70904,0.7672,0.66808,1.2776,0.000395913,0.000395913,0.000395913
47,7735.47,0.92971,0.95987,1.36892,0.86579,0.82121,0.90255,0.71178,0.76787,0.6562,1.27989,0.000388844,0.000388844,0.000388844
48,7899.56,0.92346,0.9651,1.35883,0.84453,0.83452,0.90165,0.71531,0.75808,0.64373,1.26721,0.000381776,0.000381776,0.000381776
49,8064.22,0.91965,0.94988,1.36029,0.84859,0.84263,0.90759,0.72509,0.74336,0.62391,1.25881,0.000374707,0.000374707,0.000374707
50,8228.57,0.91591,0.93278,1.36174,0.86899,0.82889,0.90943,0.7287,0.74301,0.61273,1.25658,0.000367639,0.000367639,0.000367639
51,8393.06,0.90827,0.93436,1.34748,0.86759,0.84188,0.91656,0.73643,0.72228,0.59305,1.2345,0.00036057,0.00036057,0.00036057
52,8556.88,0.90187,0.91796,1.34272,0.86871,0.85419,0.91723,0.73873,0.71609,0.60159,1.23082,0.000353501,0.000353501,0.000353501
53,8721.51,0.88907,0.91551,1.33144,0.87133,0.85961,0.92403,0.74387,0.72003,0.58118,1.22974,0.000346433,0.000346433,0.000346433
54,8885.36,0.88717,0.89121,1.32665,0.88986,0.85788,0.93006,0.75049,0.71087,0.57028,1.22847,0.000339364,0.000339364,0.000339364
55,9050.37,0.88171,0.88466,1.32726,0.87905,0.85349,0.9297,0.75655,0.69849,0.56532,1.219,0.000332296,0.000332296,0.000332296
56,9214.24,0.88328,0.87786,1.33038,0.89563,0.86675,0.93815,0.76283,0.69577,0.54281,1.20734,0.000325227,0.000325227,0.000325227
57,9378.89,0.86135,0.85522,1.30832,0.89648,0.87067,0.9421,0.77115,0.69552,0.53726,1.20811,0.000318158,0.000318158,0.000318158
58,9543.47,0.8612,0.8365,1.31148,0.8836,0.88402,0.94053,0.77271,0.67975,0.51709,1.19748,0.00031109,0.00031109,0.00031109
59,9708.28,0.84728,0.82988,1.2968,0.8818,0.88152,0.94416,0.77622,0.67411,0.52332,1.19201,0.000304021,0.000304021,0.000304021
60,9872.53,0.85817,0.83293,1.30263,0.89112,0.88793,0.94746,0.7809,0.66816,0.51485,1.18728,0.000296953,0.000296953,0.000296953
61,10037.3,0.84548,0.81731,1.29425,0.89825,0.88494,0.94802,0.78473,0.65861,0.49431,1.17808,0.000289884,0.000289884,0.000289884
62,10201.4,0.84489,0.81972,1.2918,0.87603,0.91053,0.95047,0.78761,0.655,0.49694,1.17337,0.000282815,0.000282815,0.000282815
63,10366.3,0.82912,0.80326,1.28346,0.8973,0.89393,0.95407,0.79331,0.64843,0.48841,1.16322,0.000275747,0.000275747,0.000275747
64,10530.4,0.8188,0.78572,1.27732,0.90576,0.89908,0.95392,0.79867,0.63489,0.47675,1.15972,0.000268678,0.000268678,0.000268678
65,10694.9,0.8311,0.80008,1.28682,0.92041,0.89669,0.95985,0.80342,0.63005,0.45868,1.14991,0.00026161,0.00026161,0.00026161
66,10858.5,0.80739,0.77717,1.27082,0.92676,0.88435,0.962,0.80647,0.62137,0.46142,1.13886,0.000254541,0.000254541,0.000254541
67,11023.4,0.80767,0.76472,1.26633,0.91036,0.91816,0.96573,0.81336,0.62535,0.44878,1.14854,0.000247472,0.000247472,0.000247472
68,11187.3,0.79775,0.75422,1.25463,0.90984,0.92003,0.96495,0.81254,0.6128,0.44212,1.12998,0.000240404,0.000240404,0.000240404
69,11351.5,0.78795,0.74296,1.24979,0.91239,0.91564,0.96579,0.81647,0.60423,0.44084,1.13058,0.000233335,0.000233335,0.000233335
70,11515.2,0.78866,0.73449,1.24853,0.92987,0.91243,0.96811,0.82217,0.61168,0.43287,1.13075,0.000226267,0.000226267,0.000226267
71,11680,0.79063,0.73378,1.25157,0.93395,0.92357,0.97333,0.82791,0.59929,0.41535,1.12359,0.000219198,0.000219198,0.000219198
72,11843.9,0.7823,0.72109,1.24231,0.93351,0.92122,0.97304,0.83292,0.58449,0.40942,1.11067,0.000212129,0.000212129,0.000212129
73,12008.4,0.77317,0.70796,1.23154,0.93365,0.92824,0.97639,0.83465,0.5841,0.40038,1.10677,0.000205061,0.000205061,0.000205061
74,12172.1,0.76212,0.70728,1.22543,0.92655,0.93535,0.97624,0.83751,0.57543,0.39153,1.09676,0.000197992,0.000197992,0.000197992
75,12336.7,0.76094,0.69794,1.23271,0.92986,0.93211,0.97599,0.83883,0.57203,0.39432,1.09986,0.000190924,0.000190924,0.000190924
76,12500.5,0.75547,0.69327,1.22695,0.93155,0.93528,0.97737,0.84537,0.56299,0.38759,1.09485,0.000183855,0.000183855,0.000183855
77,12664.7,0.74624,0.67271,1.21587,0.93439,0.93982,0.97835,0.84616,0.55698,0.37828,1.08822,0.000176786,0.000176786,0.000176786
