epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.397,1.92996,4.29351,1.99433,0.27772,0.1876,0.14004,0.06604,1.8079,2.91045,2.04665,0.000237131,0.000237131,0.000237131
2,222.459,1.86198,3.59967,1.96326,0.27115,0.17511,0.11849,0.05843,1.84819,2.87554,2.0453,0.000470428,0.000470428,0.000470428
3,347.781,1.85377,3.28203,1.9949,0.13662,0.15385,0.10004,0.04707,1.97973,3.107,2.19807,0.000699011,0.000699011,0.000699011
4,464.789,1.85234,3.02175,1.99525,0.18196,0.22504,0.16602,0.07749,1.93266,2.83897,2.18705,0.000692794,0.000692794,0.000692794
5,580.826,1.81186,2.86367,1.95383,0.34398,0.27198,0.24812,0.1214,1.89795,2.64853,2.15482,0.000685726,0.000685726,0.000685726
6,695.839,1.78984,2.75793,1.93838,0.24886,0.25746,0.20421,0.10426,1.8719,2.74377,2.12172,0.000678657,0.000678657,0.000678657
7,870.697,1.75214,2.66459,1.91565,0.32481,0.31763,0.27956,0.14273,1.80892,2.50819,2.06623,0.000671588,0.000671588,0.000671588
8,996.345,1.7472,2.63194,1.92371,0.29905,0.31799,0.26596,0.13539,1.81429,2.57242,2.08832,0.00066452,0.00066452,0.00066452
9,1120.95,1.73391,2.56777,1.89651,0.32389,0.3059,0.27151,0.13923,1.81122,2.5614,2.05873,0.000657451,0.000657451,0.000657451
10,1252.86,1.72709,2.54782,1.89774,0.30261,0.29104,0.24375,0.12004,1.92312,2.60822,2.12585,0.000650383,0.000650383,0.000650383
11,1374.28,1.71224,2.49554,1.88071,0.33367,0.29205,0.27425,0.14828,1.72401,2.56102,2.01431,0.000643314,0.000643314,0.000643314
12,1503.09,1.68639,2.4288,1.84698,0.33069,0.33236,0.27442,0.1446,1.80313,2.81796,2.07093,0.000636245,0.000636245,0.000636245
13,1622.91,1.68534,2.39261,1.85731,0.39821,0.35199,0.32665,0.1777,1.72264,2.26204,1.97927,0.000629177,0.000629177,0.000629177
14,1747.42,1.67763,2.39736,1.84625,0.36418,0.32003,0.30403,0.16249,1.74328,2.38627,1.99351,0.000622108,0.000622108,0.000622108
15,1864.63,1.65258,2.34728,1.83239,0.37642,0.3659,0.32485,0.17751,1.69467,2.21121,1.97205,0.00061504,0.00061504,0.00061504
16,1966.58,1.6483,2.3334,1.82199,0.3698,0.31184,0.29021,0.1615,1.68081,2.37488,1.9663,0.000607971,0.000607971,0.000607971
17,2074.42,1.64255,2.31349,1.81346,0.43406,0.36644,0.35181,0.1941,1.70704,2.304,1.99245,0.000600902,0.000600902,0.000600902
18,2188.15,1.63575,2.30171,1.80444,0.43419,0.33513,0.33418,0.18844,1.67151,2.30187,1.96099,0.000593834,0.000593834,0.000593834
19,2289.7,1.63838,2.29873,1.80459,0.39236,0.34405,0.33204,0.18601,1.68631,2.32495,1.96891,0.000586765,0.000586765,0.000586765
20,2385.91,1.62906,2.2327,1.79803,0.47507,0.3656,0.38062,0.22091,1.65214,2.20324,1.94365,0.000579697,0.000579697,0.000579697
21,2582.36,1.61279,2.22209,1.79824,0.40795,0.37236,0.3456,0.19565,1.66319,2.25874,1.95957,0.000572628,0.000572628,0.000572628
22,2686.8,1.61208,2.1911,1.78104,0.42683,0.37254,0.36525,0.2128,1.66117,2.25206,1.93479,0.000565559,0.000565559,0.000565559
23,2790.39,1.60967,2.19795,1.78519,0.44038,0.38472,0.37498,0.20896,1.70167,2.34341,2.0046,0.000558491,0.000558491,0.000558491
24,2902.1,1.60231,2.12978,1.76041,0.43628,0.34001,0.33418,0.18889,1.65888,2.46175,1.93582,0.000551422,0.000551422,0.000551422
25,3005.08,1.58708,2.13744,1.75785,0.43237,0.38361,0.37762,0.21312,1.6741,2.30015,1.93903,0.000544354,0.000544354,0.000544354
26,3104.19,1.59559,2.12321,1.76365,0.38751,0.3733,0.34463,0.19936,1.64152,2.26413,1.91396,0.000537285,0.000537285,0.000537285
27,3211.84,1.58696,2.12924,1.7613,0.47579,0.38771,0.4084,0.23239,1.65914,2.09223,1.94915,0.000530216,0.000530216,0.000530216
28,3313.87,1.58002,2.08858,1.74549,0.43076,0.36086,0.35377,0.20197,1.63499,2.25117,1.92688,0.000523148,0.000523148,0.000523148
29,3412.99,1.57716,2.0731,1.74032,0.4167,0.40062,0.37013,0.21576,1.60069,2.17939,1.8967,0.000516079,0.000516079,0.000516079
30,3522.3,1.57727,2.09538,1.74879,0.4573,0.37646,0.37557,0.21784,1.60316,2.14373,1.88937,0.000509011,0.000509011,0.000509011
31,3622.06,1.5558,2.02353,1.72935,0.50123,0.37076,0.38739,0.22641,1.6198,2.15258,1.88167,0.000501942,0.000501942,0.000501942
32,3722.15,1.57157,2.07205,1.74673,0.5012,0.40575,0.42461,0.25083,1.61672,2.01764,1.87814,0.000494873,0.000494873,0.000494873
33,3819.15,1.56943,2.05286,1.74163,0.46284,0.38939,0.39422,0.23232,1.57752,2.25457,1.87823,0.000487805,0.000487805,0.000487805
34,3922.07,1.5427,2.00942,1.71825,0.41475,0.3698,0.35159,0.20293,1.6445,2.25852,1.90715,0.000480736,0.000480736,0.000480736
