epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.771,1.35679,1.63011,1.60997,0.75323,0.50616,0.55504,0.36428,1.31071,2.59933,1.62807,0.00332958,0.00332958,0.00332958
2,678.706,1.39455,1.71263,1.6453,0.70454,0.48766,0.5355,0.34348,1.36388,2.37086,1.67898,0.00659695,0.00659695,0.00659695
3,1013.96,1.45457,1.86061,1.6977,0.61886,0.43499,0.48282,0.27974,1.56688,2.39642,1.8405,0.00979832,0.00979832,0.00979832
4,1380.8,1.52457,2.02625,1.76084,0.61937,0.43737,0.46584,0.27682,1.57335,2.54013,1.88904,0.009703,0.009703,0.009703
5,342.974,1.52436,2.02685,1.75992,0.61804,0.40685,0.43767,0.25269,1.65102,2.9836,1.99497,0.009604,0.009604,0.009604
6,699.969,1.5187,2.01722,1.76169,0.60259,0.46719,0.49198,0.28184,1.57691,2.31071,1.89466,0.009505,0.009505,0.009505
7,1037.78,1.50155,1.98991,1.74491,0.62838,0.4389,0.48575,0.29496,1.48857,2.39045,1.8007,0.009406,0.009406,0.009406
8,1395.69,1.48847,1.96535,1.73076,0.61488,0.4539,0.48858,0.30279,1.44844,2.37469,1.7593,0.009307,0.009307,0.009307
9,1761.01,1.53149,2.03543,1.77163,0.64512,0.44095,0.47484,0.28589,1.49013,2.54778,1.7998,0.009208,0.009208,0.009208
