epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.609,0.98751,1.11741,1.27854,0.60108,0.43888,0.4668,0.30639,1.39291,2.08638,1.75189,0.00332754,0.00332754,0.00332754
2,373.455,1.06408,1.26748,1.3221,0.51233,0.39547,0.4092,0.26504,1.48072,2.24505,1.82566,0.00659493,0.00659493,0.00659493
3,562.085,1.17428,1.45638,1.40173,0.52624,0.40567,0.42774,0.26596,1.50543,1.98776,1.82036,0.00979632,0.00979632,0.00979632
4,749.473,1.27595,1.65979,1.47187,0.48921,0.39255,0.39851,0.24717,1.53966,2.11773,1.88971,0.009703,0.009703,0.009703
