epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.74,0.90815,1.00213,1.27004,0.6204,0.34967,0.39431,0.266,1.49113,3.09177,1.94209,0.00332792,0.00332792,0.00332792
2,413.444,0.98407,1.11837,1.31624,0.54279,0.42084,0.44421,0.30119,1.39287,2.41759,1.77115,0.00659531,0.00659531,0.00659531
3,628.881,1.11105,1.33107,1.4112,0.53347,0.35319,0.36718,0.24245,1.51422,2.84587,1.97116,0.0097967,0.0097967,0.0097967
4,830.649,1.22081,1.55858,1.50531,0.57267,0.34799,0.36705,0.24433,1.49767,2.8386,1.90363,0.009703,0.009703,0.009703
5,1034.74,1.22144,1.55012,1.5077,0.6244,0.31316,0.35168,0.2289,1.59687,3.0584,2.03627,0.009604,0.009604,0.009604
6,1231.58,1.21773,1.53057,1.50141,0.57764,0.41923,0.43084,0.28666,1.41248,2.47328,1.83075,0.009505,0.009505,0.009505
7,1437.1,1.19187,1.46904,1.48673,0.62592,0.39088,0.42082,0.27515,1.47863,2.67602,1.9035,0.009406,0.009406,0.009406
8,1634.91,1.19043,1.47319,1.48872,0.53919,0.3892,0.40926,0.27747,1.44764,2.5745,1.88342,0.009307,0.009307,0.009307
9,1844.1,1.16108,1.4147,1.46183,0.63522,0.3863,0.42568,0.29412,1.38806,2.68187,1.84547,0.009208,0.009208,0.009208
10,2048.01,1.16007,1.41091,1.45848,0.63755,0.36309,0.40873,0.28374,1.44499,2.84813,1.8904,0.009109,0.009109,0.009109
11,2252.3,1.15033,1.39374,1.44924,0.62757,0.42045,0.46746,0.32795,1.311,2.20282,1.72692,0.00901,0.00901,0.00901
12,2450.7,1.14494,1.37686,1.44671,0.60898,0.38169,0.42667,0.2933,1.40601,2.63091,1.85549,0.008911,0.008911,0.008911
13,2654.52,1.13256,1.35246,1.4371,0.60039,0.39542,0.43963,0.30575,1.39898,2.66303,1.88913,0.008812,0.008812,0.008812
14,2858.15,1.12766,1.34596,1.43751,0.61734,0.42768,0.46963,0.32909,1.34173,2.38788,1.75856,0.008713,0.008713,0.008713
15,3063.91,1.11155,1.31434,1.41511,0.64172,0.4612,0.49364,0.34403,1.31548,2.16282,1.73811,0.008614,0.008614,0.008614
16,3265.11,1.10658,1.29824,1.42039,0.60938,0.40273,0.43813,0.30124,1.37898,2.56105,1.84067,0.008515,0.008515,0.008515
17,3470.97,1.11024,1.29622,1.4224,0.59124,0.45174,0.47274,0.33157,1.33607,2.32174,1.76272,0.008416,0.008416,0.008416
18,3672.07,1.09578,1.28602,1.40841,0.70747,0.41275,0.47638,0.34243,1.33193,2.42473,1.74604,0.008317,0.008317,0.008317
19,3877.27,1.08852,1.25866,1.40139,0.65413,0.45149,0.49519,0.35062,1.29845,2.37179,1.74315,0.008218,0.008218,0.008218
20,4073.59,1.07669,1.2501,1.39319,0.68124,0.43464,0.49059,0.34393,1.30947,2.33959,1.75979,0.008119,0.008119,0.008119
21,4276.7,1.07272,1.23291,1.38755,0.65992,0.4572,0.50357,0.35395,1.28172,2.24901,1.72455,0.00802,0.00802,0.00802
22,4475.07,1.07138,1.21326,1.38293,0.66814,0.45545,0.515,0.36618,1.28577,2.29245,1.73091,0.007921,0.007921,0.007921
23,4678.33,1.06047,1.21887,1.37492,0.73878,0.41985,0.47896,0.33799,1.31789,2.40397,1.75297,0.007822,0.007822,0.007822
24,4880.4,1.05659,1.20402,1.37776,0.65391,0.45253,0.50792,0.36082,1.2836,2.30637,1.71002,0.007723,0.007723,0.007723
25,5083.52,1.06016,1.18878,1.3716,0.66425,0.44922,0.50656,0.36284,1.2596,2.25202,1.69354,0.007624,0.007624,0.007624
26,5282.87,1.04997,1.17719,1.37076,0.67539,0.43681,0.5026,0.364,1.26142,2.50728,1.69399,0.007525,0.007525,0.007525
27,5490.76,1.04306,1.16724,1.36659,0.68267,0.44296,0.50161,0.36117,1.2567,2.32296,1.69415,0.007426,0.007426,0.007426
28,5682.59,1.04163,1.15422,1.35685,0.67806,0.43093,0.48459,0.34747,1.26142,2.4344,1.70247,0.007327,0.007327,0.007327
29,5874.47,1.03313,1.14509,1.35451,0.7031,0.43558,0.50727,0.36599,1.25747,2.32549,1.69477,0.007228,0.007228,0.007228
30,6086.52,1.0258,1.14201,1.35065,0.68971,0.45914,0.52435,0.37505,1.25183,2.28628,1.69213,0.007129,0.007129,0.007129
31,6296.04,1.01512,1.13365,1.34669,0.69752,0.45215,0.52191,0.38133,1.22414,2.40573,1.67255,0.00703,0.00703,0.00703
32,6485.39,1.00917,1.11018,1.33453,0.70775,0.44664,0.51634,0.3715,1.26081,2.42752,1.69964,0.006931,0.006931,0.006931
33,6665.75,1.00959,1.12459,1.33647,0.74629,0.45042,0.51784,0.37116,1.26532,2.39604,1.70516,0.006832,0.006832,0.006832
34,6843.7,1.00733,1.09958,1.33385,0.70913,0.45207,0.51807,0.37942,1.23348,2.4242,1.67702,0.006733,0.006733,0.006733
35,7026.95,1.00348,1.08754,1.33041,0.73123,0.46339,0.53059,0.38897,1.22207,2.35636,1.66002,0.006634,0.006634,0.006634
36,7209.91,0.99681,1.08858,1.33012,0.74856,0.45812,0.52701,0.38187,1.25664,2.38783,1.7093,0.006535,0.006535,0.006535
37,7390.72,0.99207,1.08106,1.3243,0.68545,0.45092,0.51636,0.37705,1.24867,2.40873,1.68233,0.006436,0.006436,0.006436
38,7571.71,0.99086,1.07844,1.32736,0.73286,0.45099,0.51894,0.37931,1.22151,2.41202,1.67182,0.006337,0.006337,0.006337
39,7754.36,0.98684,1.06781,1.32168,0.74361,0.45074,0.528,0.38941,1.21602,2.51173,1.66071,0.006238,0.006238,0.006238
40,7946.44,0.97998,1.05318,1.31402,0.74274,0.44489,0.53103,0.38946,1.22501,2.47896,1.65917,0.006139,0.006139,0.006139
41,8192.64,0.98105,1.05932,1.31534,0.74427,0.45178,0.51738,0.38084,1.22178,2.45042,1.65894,0.00604,0.00604,0.00604
42,178.837,0.96661,1.02524,1.30253,0.72776,0.44249,0.51482,0.38009,1.21621,2.51889,1.65747,0.005941,0.005941,0.005941
43,352.262,0.96935,1.03111,1.30542,0.70647,0.44489,0.52214,0.38431,1.22564,2.45222,1.67496,0.005842,0.005842,0.005842
44,533.342,0.96754,1.02956,1.30471,0.75252,0.45633,0.53291,0.38832,1.23081,2.4167,1.67858,0.005743,0.005743,0.005743
45,714.052,0.95723,1.01975,1.29645,0.76847,0.45095,0.53765,0.39484,1.21274,2.44425,1.67245,0.005644,0.005644,0.005644
46,898.095,0.94781,1.0027,1.28994,0.74514,0.45377,0.54281,0.39878,1.2147,2.44349,1.6532,0.005545,0.005545,0.005545
47,1084.4,0.95008,1.00355,1.2919,0.72849,0.45795,0.53658,0.39257,1.21111,2.37766,1.65367,0.005446,0.005446,0.005446
48,1267.89,0.94185,0.98111,1.28442,0.73871,0.46297,0.53951,0.39693,1.21104,2.38893,1.67026,0.005347,0.005347,0.005347
49,1446.56,0.94533,0.99513,1.28916,0.73389,0.46423,0.54354,0.40028,1.2154,2.44821,1.67013,0.005248,0.005248,0.005248
50,1630.63,0.92884,0.95995,1.27374,0.75292,0.4532,0.53875,0.39832,1.22009,2.53548,1.67813,0.005149,0.005149,0.005149
51,1814.85,0.9294,0.96596,1.27592,0.73297,0.45306,0.53389,0.39545,1.21374,2.50439,1.67212,0.00505,0.00505,0.00505
52,2000.32,0.92947,0.95365,1.27532,0.751,0.45125,0.54585,0.40202,1.21894,2.4791,1.6792,0.004951,0.004951,0.004951
53,2181.48,0.93103,0.9629,1.27809,0.76623,0.44129,0.53172,0.39608,1.20875,2.57034,1.66966,0.004852,0.004852,0.004852
54,2365.25,0.92116,0.94646,1.27052,0.75985,0.4447,0.53281,0.39575,1.21505,2.53641,1.67034,0.004753,0.004753,0.004753
55,2544.98,0.92193,0.94377,1.27211,0.75212,0.44615,0.53535,0.39578,1.21994,2.57394,1.67846,0.004654,0.004654,0.004654
56,2727.41,0.90745,0.9253,1.25752,0.75075,0.44522,0.53257,0.39427,1.21228,2.54559,1.67052,0.004555,0.004555,0.004555
57,2906.12,0.91195,0.92293,1.26592,0.74459,0.44623,0.53864,0.40088,1.20512,2.51877,1.65983,0.004456,0.004456,0.004456
58,3088.24,0.91197,0.92022,1.26232,0.74918,0.43846,0.53686,0.39752,1.20825,2.51585,1.65868,0.004357,0.004357,0.004357
59,3267.52,0.90407,0.91376,1.2549,0.76732,0.44348,0.54034,0.40239,1.21328,2.54875,1.66161,0.004258,0.004258,0.004258
60,3449.42,0.89205,0.9012,1.24681,0.75987,0.44387,0.53856,0.39915,1.20622,2.54453,1.66245,0.004159,0.004159,0.004159
