epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.068,1.02096,1.85372,1.34794,0.57431,0.4094,0.46576,0.29674,1.42862,2.1617,1.8045,0.00332792,0.00332792,0.00332792
2,366.425,1.02551,1.65694,1.35891,0.52188,0.41974,0.43722,0.28277,1.4701,2.15206,1.82041,0.00659531,0.00659531,0.00659531
3,555.433,1.15644,1.80777,1.45226,0.47416,0.40443,0.40127,0.24268,1.58509,2.13886,1.93102,0.0097967,0.0097967,0.0097967
4,743.443,1.2693,1.98073,1.53958,0.44351,0.3245,0.32702,0.19148,1.6864,2.69406,2.09655,0.009703,0.009703,0.009703
5,931.067,1.26016,1.90742,1.52715,0.47559,0.40467,0.41454,0.25044,1.60058,2.20657,1.94364,0.009604,0.009604,0.009604
6,1118.71,1.23296,1.8352,1.51174,0.51975,0.40828,0.43004,0.26995,1.50525,2.05418,1.8807,0.009505,0.009505,0.009505
7,1306.29,1.20116,1.77712,1.49091,0.54066,0.4004,0.42507,0.26065,1.55561,2.09171,1.94232,0.009406,0.009406,0.009406
8,1494.5,1.17288,1.72531,1.46628,0.51722,0.40686,0.4155,0.2622,1.53369,2.15351,1.90155,0.009307,0.009307,0.009307
9,1682.28,1.15661,1.68999,1.45403,0.53688,0.41837,0.44539,0.28413,1.50965,1.99427,1.89517,0.009208,0.009208,0.009208
10,1864.98,1.14024,1.64249,1.4469,0.52807,0.43703,0.44255,0.27428,1.51342,1.89522,1.88663,0.009109,0.009109,0.009109
11,2053.49,1.12308,1.60821,1.42958,0.56189,0.45319,0.47673,0.30791,1.45342,1.90909,1.83641,0.00901,0.00901,0.00901
12,2241.59,1.10899,1.56724,1.41603,0.55044,0.41664,0.45128,0.28676,1.51845,2.15498,1.89621,0.008911,0.008911,0.008911
13,2430.7,1.10436,1.57921,1.40168,0.55109,0.4749,0.4892,0.31191,1.48122,1.86433,1.86041,0.008812,0.008812,0.008812
14,2616.65,1.09903,1.55607,1.41401,0.52172,0.47441,0.46761,0.29817,1.45697,1.84702,1.83229,0.008713,0.008713,0.008713
15,2803.92,1.0902,1.52476,1.4029,0.59361,0.46276,0.49569,0.31587,1.45998,1.79811,1.80992,0.008614,0.008614,0.008614
16,2987.41,1.06845,1.51059,1.39213,0.58311,0.47138,0.50811,0.33554,1.41975,1.84709,1.78147,0.008515,0.008515,0.008515
17,3174.33,1.06079,1.47536,1.38172,0.57681,0.46113,0.49967,0.31992,1.43929,1.88908,1.79754,0.008416,0.008416,0.008416
18,3415.45,1.05017,1.44166,1.36408,0.57271,0.49027,0.49305,0.31974,1.40193,1.77578,1.76886,0.008317,0.008317,0.008317
19,3642.94,1.06089,1.468,1.37779,0.57051,0.46064,0.48784,0.32087,1.43505,1.90425,1.7814,0.008218,0.008218,0.008218
20,3857.32,1.02537,1.40639,1.35732,0.57893,0.48721,0.50932,0.3384,1.3952,1.72611,1.75419,0.008119,0.008119,0.008119
21,4070.65,1.024,1.41373,1.35655,0.60581,0.48149,0.51751,0.33741,1.41327,1.74917,1.78303,0.00802,0.00802,0.00802
22,4281.77,1.0123,1.39011,1.34525,0.63261,0.49382,0.53387,0.35333,1.37886,1.73811,1.75431,0.007921,0.007921,0.007921
23,4497.9,1.00484,1.34733,1.33899,0.60474,0.51132,0.53795,0.35219,1.39211,1.67059,1.72543,0.007822,0.007822,0.007822
23,196.695,0.98187,1.34377,1.31975,0.59482,0.49603,0.5289,0.35308,1.37828,1.73028,1.73933,0.007822,0.007822,0.007822
24,391.06,0.99422,1.34385,1.32994,0.58974,0.5039,0.52842,0.35658,1.36535,1.69583,1.74034,0.007723,0.007723,0.007723
25,597.628,0.99411,1.33452,1.33319,0.62402,0.488,0.53649,0.35666,1.37414,1.75972,1.74034,0.007624,0.007624,0.007624
26,879.261,0.99067,1.32177,1.32854,0.6198,0.48486,0.53205,0.35495,1.37785,1.73648,1.75891,0.007525,0.007525,0.007525
27,1084.87,0.97717,1.27957,1.31264,0.62792,0.50291,0.54705,0.36488,1.3601,1.70241,1.71858,0.007426,0.007426,0.007426
