epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.223,1.08309,1.17337,1.37565,0.59882,0.38153,0.4332,0.28116,1.45361,2.45175,1.69904,0.00332754,0.00332754,0.00332754
2,367.799,1.09534,1.2376,1.3928,0.63223,0.31789,0.3462,0.17741,1.88614,3.32179,2.10889,0.00659493,0.00659493,0.00659493
3,550.884,1.18725,1.41907,1.46157,0.47313,0.36248,0.36704,0.22142,1.67825,2.91132,1.92712,0.00979632,0.00979632,0.00979632
4,730.802,1.26214,1.55769,1.51758,0.63898,0.33788,0.36652,0.19488,1.91186,3.10722,2.10092,0.009703,0.009703,0.009703
5,906.904,1.27699,1.57898,1.53487,0.4917,0.36848,0.38054,0.2192,1.71896,2.69768,1.94979,0.009604,0.009604,0.009604
6,185.568,1.25987,1.54435,1.5218,0.59054,0.37561,0.38886,0.24208,1.57572,2.70813,1.82681,0.009505,0.009505,0.009505
7,376.385,1.23802,1.49734,1.50129,0.55783,0.40177,0.43157,0.26085,1.60259,2.53007,1.81516,0.009406,0.009406,0.009406
8,614.846,1.20981,1.45944,1.48128,0.58265,0.37363,0.40986,0.23586,1.71848,2.8016,1.94112,0.009307,0.009307,0.009307
9,177.812,1.18075,1.40151,1.45964,0.66521,0.38089,0.42767,0.25741,1.64744,2.75075,1.89186,0.009208,0.009208,0.009208
