epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.259,0.96296,1.05612,1.25888,0.57115,0.43872,0.4593,0.30374,1.43727,2.1404,1.80506,0.00332754,0.00332754,0.00332754
2,394.673,1.04374,1.21716,1.30657,0.56648,0.41666,0.44149,0.28211,1.51563,2.19491,1.87851,0.00659493,0.00659493,0.00659493
3,586.363,1.16463,1.42907,1.39327,0.4488,0.34363,0.34666,0.2091,1.65165,2.36925,1.96658,0.00979632,0.00979632,0.00979632
4,788.486,1.27305,1.6391,1.47266,0.4727,0.35571,0.36865,0.2326,1.58796,2.21123,1.91723,0.009703,0.009703,0.009703
5,999.686,1.27453,1.6477,1.47852,0.50785,0.41819,0.4344,0.27653,1.48166,2.03563,1.80408,0.009604,0.009604,0.009604
6,1209.29,1.25614,1.61417,1.465,0.51086,0.38366,0.3982,0.25094,1.51206,2.28921,1.86563,0.009505,0.009505,0.009505
7,1416.39,1.24191,1.58349,1.45914,0.48788,0.40222,0.41977,0.26217,1.46863,2.05782,1.78602,0.009406,0.009406,0.009406
8,1615.48,1.23297,1.55133,1.44713,0.49369,0.3731,0.39875,0.24294,1.54624,2.24653,1.87933,0.009307,0.009307,0.009307
